----|-------------------------------------------------|------------------|------------|-------------|-------------------|---------------|----------------------------------------|----------------------
18  | ansesfdesa01.anses.gov.ar                       | RedHat 7.9       |            | 10.8.15.58  | 00:50:56:a6:26:1f | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
75  | ansesfrqa.anses.gov.ar                          | RedHat 7.8       |            | 10.7.7.18   | 00:50:56:b8:4b:8c | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
171 | ansesfrweb02.anses.gov.ar                       | RedHat 7.5       |            | 10.1.15.232 | 00:50:56:a9:15:f3 | Warning       | RedHat RHEL7 Server Official Repos New | PRODUCCION           
43  | ansesgas01.anses.gov.ar                         | RedHat 7.6       |            | 10.1.15.154 | 00:50:56:b8:15:9e | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
158 | ansesgas02.anses.gov.ar                         | RedHat 7.5       |            | 10.1.15.170 | 00:50:56:9b:b5:0b | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
168 | ansesgasmon                                     | RedHat 8.2       |            | 10.1.13.35  | 00:50:56:9b:a5:ab | Error         | RedHat RHEL8 Server Official Repos     | PRODUCCION           
159 | ansesgescam.anses.gov.ar                        | RedHat 7.5       |            | 10.1.15.148 | 00:50:56:9b:79:ce | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
161 | ansesgit01.anses.gov.ar                         | RedHat 7.5       |            | 10.1.15.88  | 00:50:56:b8:3b:5b | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
162 | anseshaext01.anses.gov.ar                       | RedHat 7.8       |            | 10.7.1.35   | 00:50:56:b8:26:37 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
164 | anseshaext02.anses.gov.ar                       | RedHat 7.8       |            | 10.7.1.79   | 00:50:56:9b:33:83 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
165 | anseshaext03.anses.gov.ar                       | RedHat 7.8       |            | 10.7.1.60   | 00:50:56:9b:22:bf | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
166 | anseshaext04.anses.gov.ar                       | RedHat 7.8       |            | 10.7.1.61   | 00:50:56:9b:ae:bf | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
167 | anseshaext05.anses.gov.ar                       | RedHat 7.8       |            | 10.7.1.62   | 00:50:56:9b:82:d8 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
172 | anseshaint01.anses.gov.ar                       | RedHat 7.8       |            | 10.1.15.252 | 00:50:56:9b:b2:a4 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
174 | anseshaint02.anses.gov.ar                       | RedHat 7.8       |            | 10.1.15.152 | 00:50:56:9b:76:4a | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
175 | anseshaint03.anses.gov.ar                       | RedHat 7.8       |            | 10.1.15.187 | 00:50:56:9b:94:d2 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
176 | anseshaint05.anses.gov.ar                       | RedHat 7.8       |            | 10.1.15.172 | 00:50:56:9b:54:91 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
173 | anseshaocp01.anses.gov.ar                       | RedHat 7.8       |            | 10.1.13.62  | 00:50:56:9b:f4:e2 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
177 | anseshaocp02.anses.gov.ar                       | RedHat 7.8       |            | 10.1.13.59  | 00:50:56:9b:f0:21 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
76  | anseshaqa01.anses.gov.ar                        | RedHat 7.8       |            | 10.8.15.65  | 00:50:56:b8:80:0b | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
178 | anseshash01.anses.gov.ar                        | RedHat 7.5       |            | 10.1.15.169 | 00:50:56:a9:ba:56 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
179 | anseshash02.anses.gov.ar                        | RedHat 7.5       |            | 10.1.15.10  | 00:50:56:a9:04:6f | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
180 | ansesipsvc.anses.gov.ar                         | RedHat 7.5       |            | 10.1.15.75  | 00:50:56:9b:4c:8a | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
181 | ansesjenkinspr1.anses.gov.ar                    | RedHat 7.8       |            | 10.1.15.86  | 00:50:56:b8:0f:94 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
77  | ansesjenkinsqad.anses.gov.ar                    | RedHat 7.5       |            | 10.1.15.68  | 00:50:56:a9:e5:6b | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
79  | anseskbsa.anses.gov.ar                          | RedHat 7.6       |            | 10.8.15.141 | 00:50:56:b8:e8:93 | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
182 | anseslgr01.anses.gov.ar                         | RedHat 7.5       |            | 10.1.15.179 | 00:50:56:b5:5d:d2 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
184 | anseslivecycle.anses.gov.ar                     | RedHat 7.5       |            | 10.1.15.46  | 00:50:56:a9:92:0f | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
183 | ansesmaclearn03.anses.gov.ar                    | RedHat 7.5       |            | 10.1.15.43  | 00:50:56:9b:6b:1e | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
185 | ansesmaclearn04.anses.gov.ar                    | RedHat 7.5       |            | 10.1.15.120 | 00:50:56:9b:18:d5 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
81  | ansesmaclearnqa.anses.gov.ar                    | RedHat 7.5       |            | 10.8.15.138 | 00:50:56:b8:3a:08 | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
186 | ansesmanudat01.anses.gov.ar                     | RedHat 7.8       |            | 10.1.15.44  | 00:50:56:9b:77:f8 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
187 | ansesmariadb01.anses.gov.ar                     | RedHat 7.7       |            | 10.1.15.20  | 00:50:56:9b:ed:e4 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
188 | ansesmariadb02.anses.gov.ar                     | RedHat 7.7       |            | 10.1.15.58  | 00:50:56:9b:29:40 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
36  | ansesmdbdesa02.anses.gov.ar                     | RedHat 7.9       |            | 10.8.15.178 | 00:50:56:b8:c2:ee | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
37  | ansesmdbtest01.anses.gov.ar                     | RedHat 7.9       |            | 10.8.15.183 | 00:50:56:b8:4b:79 | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
38  | ansesmdbtest02.anses.gov.ar                     | RedHat 7.9       |            | 10.8.15.97  | 00:50:56:b8:25:29 | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
80  | ansesmongdbcali.anses.gov.ar                    | RedHat 7.8       |            | 10.8.15.112 | 00:50:56:b8:79:90 | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
39  | ansesmongdbdesa.anses.gov.ar                    | RedHat 7.9       |            | 10.8.15.95  | 00:50:56:b8:a3:45 | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
82  | ansesmongdbte01.anses.gov.ar                    | RedHat 7.8       |            | 10.8.15.113 | 00:50:56:b8:99:8d | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
41  | ansesmongdbtest.anses.gov.ar                    | RedHat 7.9       |            | 10.8.15.96  | 00:50:56:b8:33:68 | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
53  | ansesmysql.anses.gov.ar                         | RedHat 6.5       |            | 10.1.15.45  | 00:50:56:bf:00:1c | Error         | RedHat RHEL6 Server Official Repos New | PRODUCCION           
28  | ansesmysqltest.anses.gov.ar                     | RedHat 6.10      |            | 10.8.15.21  | 00:50:56:b5:66:f9 | Error         | RedHat RHEL6 Server Official Repos New | DESARROLLO           
189 | ansesnexus01.anses.gov.ar                       | RedHat 7.5       |            | 10.1.15.87  | 00:50:56:b8:59:3f | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
52  | ansesopendata01.anses.gov.ar                    | RedHat 6.5       |            | 10.1.15.155 | 00:50:56:b5:72:db | Error         | RedHat RHEL6 Server Official Repos New | PRODUCCION           
27  | ansesopendatade.anses.gov.ar                    | RedHat 6.10      |            | 10.8.15.47  | 00:50:56:a6:6a:b7 | Error         | RedHat RHEL6 Server Official Repos New | DESARROLLO           
44  | ansesopsmanager.anses.gov.ar                    | RedHat 8.2       |            | 10.1.13.54  | 00:50:56:9b:54:27 | Error         | RedHat RHEL8 Server Official Repos     | PRODUCCION           
192 | ansesorocrm01.anses.gov.ar                      | RedHat 7.6       |            | 10.1.15.15  | 00:50:56:9b:0f:fa | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
191 | ansesorocrmbd.anses.gov.ar                      | RedHat 7.6       |            | 10.1.15.14  | 00:50:56:9b:fa:88 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
198 | ansespfdm01.anses.gov.ar                        | RedHat 7.5       |            | 10.1.15.196 | 00:50:56:a9:65:a6 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
190 | ansespostgre01.anses.gov.ar                     | RedHat 7.5       |            | 10.1.15.206 | 00:50:56:a9:1b:a8 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
24  | ansespresdesa01.anses.gov.ar                    | RedHat 6.9       |            | 10.8.15.19  | 00:50:56:b5:40:38 | Error         | RedHat RHEL6 Server Official Repos New | DESARROLLO           
49  | ansespresjust1.anses.gov.ar                     | RedHat 6.8       |            | 10.1.15.54  | 00:50:56:a9:26:c1 | Error         | RedHat RHEL6 Server Official Repos New | PRODUCCION           
57  | ansespreslx151.anses.gov.ar                     | RedHat 6.5       |            | 10.1.15.151 | 00:50:56:b5:39:d9 | Error         | RedHat RHEL6 Server Official Repos New | PRODUCCION           
83  | ansesprisad05.anses.gov.ar                      | RedHat 7.8       |            | 10.8.15.110 | 00:50:56:9f:0e:e8 | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
193 | ansesprissa06.anses.gov.ar                      | RedHat 7.5       |            | 10.1.15.29  | 00:50:56:a9:5d:37 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
194 | ansesprissaprod.anses.gov.ar                    | RedHat 7.5       |            | 10.1.15.144 | 00:50:56:a9:44:39 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
195 | ansesprmaria01.anses.gov.ar                     | RedHat 7.8       |            | 10.1.13.18  | 00:50:56:9b:c0:0b | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
196 | ansesprmaria02.anses.gov.ar                     | RedHat 7.8       |            | 10.1.13.19  | 00:50:56:9b:f8:9a | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
197 | ansesprmaria03.anses.gov.ar                     | RedHat 7.8       |            | 10.1.13.20  | 00:50:56:9b:86:0e | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
199 | ansesprmariamax.anses.gov.ar                    | RedHat 7.8       |            | 10.1.13.21  | 00:50:56:9b:70:d6 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
201 | ansesprodmong03.anses.gov.ar                    | RedHat 7.8       |            | 10.1.15.35  | 00:50:56:9b:ef:13 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
200 | ansesprodmong04.anses.gov.ar                    | RedHat 7.8       |            | 10.1.15.36  | 00:50:56:9b:2a:5e | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
16  | ansesprodmong06.anses.gov.ar                    | RedHat 8.2       |            | 10.1.13.15  | 00:50:56:9b:c1:f5 | Error         | RedHat RHEL8 Server Official Repos     | PRODUCCION           
84  | ansesqadpdb01.anses.gov.ar                      | RedHat 7.5       |            | 10.8.15.144 | 00:50:56:b8:db:fc | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
85  | ansesqadpdb02.anses.gov.ar                      | RedHat 7.5       |            | 10.8.15.145 | 00:50:56:b8:8a:8b | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
86  | ansesqadpdb03.anses.gov.ar                      | RedHat 7.5       |            | 10.8.15.146 | 00:50:56:b8:6f:c8 | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
87  | ansesqadpdb04.anses.gov.ar                      | RedHat 7.5       |            | 10.8.15.147 | 00:50:56:b8:0d:80 | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
202 | ansesqajb7.anses.gov.ar                         | RedHat 7.8       |            | 10.8.15.182 | 00:50:56:b8:d7:e1 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
29  | ansesqapreslx01.anses.gov.ar                    | RedHat 6.10      |            | 10.8.15.28  | 00:50:56:bd:74:63 | Error         | RedHat RHEL6 Server Official Repos New | DESARROLLO           
30  | ansesqapreslx02.anses.gov.ar                    | RedHat 6.10      |            | 10.8.15.74  | 00:50:56:bd:c3:84 | Error         | RedHat RHEL6 Server Official Repos New | DESARROLLO           
169 | ansesrelayint01.anses.gov.ar                    | RedHat 7.8       |            | 10.1.15.8   | 00:50:56:9b:3b:83 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
203 | ansesrelayint02.anses.gov.ar                    | RedHat 7.8       |            | 10.1.15.4   | 00:50:56:9b:54:af | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
64  | ansessapacd.anses.gov.ar                        | RedHat 7.3       |            | 10.8.15.132 | 00:50:56:9f:00:2e | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
204 | ansessapacp.anses.gov.ar                        | RedHat 7.3       |            | 10.1.15.89  | 00:50:56:a9:fe:b5 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
89  | ansessaped1.anses.gov.ar                        | RedHat 7.5       |            | 10.8.15.37  | 00:50:56:b8:a3:31 | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
205 | ansessapepp.anses.gov.ar                        | RedHat 7.5       |            | 10.1.15.181 | 00:50:56:a9:3e:ea | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
90  | ansessapeq1.anses.gov.ar                        | RedHat 7.6       |            | 10.8.15.44  | 00:50:56:b8:30:ab | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
91  | ansessapsd1.anses.gov.ar                        | RedHat 7.4       |            | 10.8.15.36  | 00:50:56:b8:a2:c5 | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
119 | ansessapsdj.anses.gov.ar                        | RedHat 7.4       |            | 10.8.15.35  | 00:50:56:b8:d3:f2 | Warning       | RedHat RHEL7 Server Official Repos New | DESARROLLO           
208 | ansessapsjp.anses.gov.ar                        | RedHat 7.5       |            | 10.1.15.183 | 00:50:56:a9:39:f1 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
209 | ansessapsm1.anses.gov.ar                        | RedHat 7.4       |            | 10.1.15.214 | 00:50:56:a9:2b:45 | Warning       | RedHat RHEL7 Server Official Repos New | PRODUCCION           
92  | ansessapsq1.anses.gov.ar                        | RedHat 7.4       |            | 10.8.15.45  | 00:50:56:b8:29:b1 | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
